Dove abitava il "Tyrannosaurus rex"?,Asia,Sud America,Europa,Nord America,Nord America
Qual era la regione di provenienza del "Triceratops"?,Asia,Sud America,Europa,Nord America,Nord America
In quale continente si trovava lo "Stegosaurus"?,Asia,Sud America,Europa,Nord America,Nord America
Nel quale di questi luoghi si poteva incontrare il "Velociraptor"?,Asia,Sud America,Europa,Nord America,Asia
Dove viveva il "Brachiosaurus"?,Asia,Sud America,Europa,Nord America,Africa
In che parte del mondo e' stato scoperto il "Diplodocus"?,Asia,Sud America,Europa,Nord America,Nord America
Qual era la località di residenza dell'"Ankylosaurus"?,Asia,Sud America,Europa,Nord America,Nord America
In quale regione si poteva trovare l'"Allosaurus"?,Asia,Sud America,Europa,Nord America,Nord America
Dove si poteva incontrare il "Parasaurolophus"?,Asia,Sud America,Europa,Nord America,Nord America
Qual era la zona di habitat dello "Spinosaurus"?,Asia,Sud America,Europa,Nord America,Africa
Dove abitava l'"Apatosaurus"?,Asia,Sud America,Europa,Nord America,Nord America
In quale continente viveva l'"Iguanodon"?,Asia,Sud America,Europa,Nord America,Europa
Nel quale di questi continenti si poteva avvistare il "Pachycephalosaurus"?,Asia,Sud America,Europa,Nord America,Nord America
Dove si poteva incontrare il "Carnotaurus"?,Asia,Sud America,Europa,Nord America,Sud America
In che parte del mondo e' stato scoperto il "Deinonychus"?,Asia,Sud America,Europa,Nord America,Nord America
Qual era la regione di habitat dell'"Archaeopteryx"?,Asia,Sud America,Europa,Nord America,Europa
Nel quale di questi continenti si poteva trovare il "Microraptor"?,Asia,Sud America,Europa,Nord America,Asia
Dove abitava lo "Styracosaurus"?,Asia,Sud America,Europa,Nord America,Nord America
In quale regione si poteva incontrare l'"Edmontosaurus"?,Asia,Sud America,Europa,Nord America,Nord America
Qual era la zona di habitat del "Pteranodon"?,Asia,Sud America,Europa,Nord America,Nord America
Dove si poteva avvistare il "Brontosaurus"?,Asia,Sud America,Europa,Nord America,Nord America
In che parte del mondo viveva il "Trachodon"?,Asia,Sud America,Europa,Nord America,Nord America
Nel quale di questi luoghi si poteva incontrare il "Therizinosaurus"?,Asia,Sud America,Europa,Nord America,Asia
Dove abitava il "Gallimimus"?,Asia,Sud America,Europa,Nord America,Asia
In quale continente si trovava il "Coelophysis"?,Asia,Sud America,Europa,Nord America,Nord America